ID,Name,Impact,Feasibility,Scalability,Overall
P1 ,P1 - ICPC Team Builder,3,4,3,3.33
P2 ,P2 - Optical Tracking Pipeline,4,3,4,3.67
P3 ,P3 - What is hidden in the metabolomics of the tear film of the eye_,4,3,3,3.33
P4 ,P4 - Clinical Skills Communication Assessment Tool,3,3,3,3
P5 ,P5 - Machine learning-based Estimation of Power Systems Strength,4,3,4,3.67
P6 ,P6 - Development of a Web Interface for Real-Time Control of Baxter Robot with new perception hardware,4,3,3,3.33
P7 ,P7 - Optimal Control in Epidemiology via Neural Ordinary Differential Equation Control (NODEC),4,3,4,3.67
P8 ,P8 - LLM for recommending services on AskIzzy,3,3,4,3.33
P9 ,P9 - UNSW Finance Hot Desking Application,3,4,3,3.33
P10,P10 - Program for Learning Interactively through Virtual Case Scenarios,3,3,3,3
P11,P11 - Convert a VR supermarket game in Unreal to run standalone,2,3,3,2.67
P12,P12 - Solving Classic Transportation Problem in New AI Approach (ML & MDCVRPTW),3,3,4,3.33
P13,P13 - Rostering using Large Language Models (LLM),4,3,4,3.67
P14,P14 - Real Time Retinal Vessels Segmenter,4,3,4,3.67
P15,P15 - Verifiable Credentials: The Future of Digital Identity in Action (A Demo Application),4,3,4,3.67
P16,P16 - Region-attention based medical image segmentation,4,3,4,3.67
P17,P17 - Finding extrapolating  recommending and map connections in social media data sets,3,3,4,3.33
P18,P18 - Business Process for SMEs Utilizing E-invoicing APIs,3,4,3,3.33
P19,P19 - A web-based digital twin platform for sustainability analysis,3,4,3,3.33
P20,P20 - Building Time Series Analysis,3,4,4,3.67
P21,P21 - Building Time Series Visualization,3,4,3,3.33
P22,P22 - Prototyping Design Solutions,3,4,4,3.67
P23,P23 - Predicting the freshness and best-before of foods using AI-based analysis of color and shape change,3,3,4,3.33
P24,P24 - White cane training simulator,4,3,4,3.67
P25,P25 - Exploring Diagnostic Criteria of Binocular Vision Anomalies through Data Simulations,4,3,3,3.33
P26,P26 - Building Question-Answering with Large Language Models,4,3,4,3.67
P27,P27 - Custom intelligent control for a Pudu Bellabot Food Delivery Robot,3,3,3,3
P28,P28 - Development of Online Adaptive Tutorials for Chemistry Teaching Labs,3,3,4,3.33
P29,P29 - HDR Topics document management system,2,3,3,2.67
P30,P30 - Royal Hospital for Women Newborn Care Centre Neonatal Milk Checker,4,3,3,3.33
P31,P31 - Modern Team Evaluation System for Courses with Group Assessments,3,4,3,3.33
P32,P32 - Data acquisition software for next-generation electrophysiology and BCI systems,4,3,4,3.67
P33,P33 - Understanding the Privacy Advantages of Backdoor Attacks on Deep Neural Networks,3,3,3,3
P34,P34 - Career Pathway Mapping Tool for Energy Transition: User Interface and Recommendation System,4,3,4,3.67
P35,P35 - Career Pathway Mapping Tool for Energy Transition: Database Development and Automation,4,3,5,4
P36,P36 - igive: an update to CSE after 50 years,3,4,3,3.33
P37,P37 - Robocup Home: Creating synthetic image datasets from 3D scanned objects,3,3,4,3.33
P38,P38 - EcoM Platform for Sustainable Investment,4,3,4,3.67
P39,P39 - Sustainable Investment Data Modeling Microservice for Clarity AI ESG Risk Raw Data on Corporations,4,3,4,3.67
P40,P40 - Converting datasets into knowledge graphs,3,3,4,3.33
P41,P41 - From Rubble to Renewal: Tracking CO2 Cuts in Demolition Waste,3,4,3,3.33
P42,P42 - EyeNutrition: A Dietary Tracking App for Optometry Patients to Improve Eye Health,3,3,4,3.33
P43,P43 - Multimodal Retrieval-Augmented Generation (RAG) System for Traffic Engineering,4,3,4,3.67
P44,P44 - Where are your feet?,3,3,4,3.33
